Category     Name                                     Status    Patches  Detours  D:Fail  D:Act  
Pop:ExtAttr  IgnoreTargets                            DISABLED  0        3        0       0      
Pop:ExtAttr  Parse                                    DISABLED  0        3        1       0      
Pop:ExtAttr  TargetStickies                           DISABLED  0        2        0       0      
Prof         Debug_Overlay                            UNLOADED  0        13       13      0      
Prof         Flame_Breakable_Collision                DISABLED  0        2        1       0      
Prof         Frame_Prof                               DISABLED  0        4        4       0      
Prof         MvM_Shield_Events                        UNLOADED  0        3        3       0      
Prof         Popfile_Load                             DISABLED  0        1        1       0      
Prof         Tier2_RenderUtils                        UNLOADED  0        10       10      0      
Robot        Building_Stomp                           DISABLED  0        3        1       0      
Robot        No_Canteens                              DISABLED  0        2        0       0      
Robot        Spawn_Protection_Fix                     DISABLED  0        2        0       0      
Robot        Spawn_SetName                            DISABLED  0        2        1       0      
Robot        Standable_Heads                          DISABLED  0        2        0       0      
Robot        Ticklish                                 DISABLED  0        1        1       0      
Robot        Underground_Check_Override               FAILED    0        1        0       0      
Sniper       Charge_Uncap                             FAILED    2        0        0       0      
Sniper       Head_Uncap                               DISABLED  0        1        1       0      
Sound        Suppress_Giant_SentryBuster              DISABLED  0        2        0       0      
Sound        Suppress_MedicBot_Shield                 DISABLED  0        1        0       0      
Sound        Tele_Activate                            DISABLED  0        1        1       0      
Sound        Unused_Credits                           DISABLED  0        2        0       0      
Sound        Unused_Sapper                            DISABLED  0        2        1       0      
Tank         Gunslinger_Combo                         DISABLED  0        2        2       0      
Util         Client_Cmds                              DISABLED  0        3        2       0      
Util         ConFilter                                DISABLED  0        1        1       0      
Util         Console_Recv                             DISABLED  0        0        0       0      
Util         Console_Send                             DISABLED  0        0        0       0      
Util         DTWarning_Use_CVar                       DISABLED  0        1        1       0      
Util         DebugOverlay_Font                        UNLOADED  0        2        2       0      
Util         DebugOverlay_Font_v2                     UNLOADED  0        4        4       0      
Util         DebugOverlay_Font_v3                     FAILED    0        6        6       0      
Util         Download_Manager                         DISABLED  0        8        5       0      
Util         Entity_Overlays                          DISABLED  0        3        3       0      
Util         ListenServerHost                         DISABLED  0        1        0       0      
Util         Lua                                      OK        0        30       6       24     
Util         Make_Item                                DISABLED  0        0        0       0      
Util         Notify_Recv                              UNLOADED  0        1        1       0      
Util         Notify_Send                              DISABLED  0        3        3       0      
Util         Overlay_Enhancements                     UNLOADED  0        3        3       0      
Util         Overlay_Recv                             UNLOADED  0        1        1       0      
Util         Overlay_Send                             DISABLED  0        61       30      0      
Util         Overlay_Send                             DISABLED  0        32       29      0      
Util         Pooled_String                            OK        0        1        0       1      
Util         Pooled_String_Fix                        DISABLED  0        4        2       0      
Util         VProf_Recv                               DISABLED  0        0        0       0      
Util         VProf_Send                               DISABLED  0        0        0       0      
Util         VScript_Load_Init_Scripts                DISABLED  0        2        1       0      
Util         VScript_Send_Output_To_Admins            DISABLED  0        1        1       0      
Util         Vehicle_Fix                              DISABLED  0        21       10      0      

