Attr:Custom_Attributes	CTFProjectile_Flare::GetDamageType
Attr:Custom_Attributes	CTFProjectile_Flare::IsDeflectable
Attr:Custom_Attributes	CTFProjectile_GrapplingHook::CanHeadshot
Attr:Custom_Attributes	CTFProjectile_GrapplingHook::HookTarget
Attr:Custom_Attributes	CTFProjectile_HealingBolt::CanHeadshot
Attr:Custom_Attributes	CTFProjectile_MechanicalArmOrb::CheckForProjectiles
Attr:Custom_Attributes	CTFProjectile_Rocket::IsDeflectable
Attr:Custom_Attributes	CTFRadiusDamageInfo::ApplyToEntity [clone]
Attr:Custom_Attributes	CTFReviveMarker::Create
Attr:Custom_Attributes	CTFRevolver::Deploy
Attr:Custom_Attributes	CTFRevolver::GetDamageType
Attr:Custom_Attributes	CTFRevolver::Holster
Attr:Custom_Attributes	CTFShotgunBuildingRescue::GetProjectileSpeed
Attr:Custom_Attributes	CTFShotgun_Revenge::Deploy
Attr:Custom_Attributes	CTFShotgun_Revenge::Holster
Attr:Custom_Attributes	CTFSMG::GetDamageType
Attr:Custom_Attributes	CTFSniperRifleClassic::GetDamageType
Attr:Custom_Attributes	CTFSniperRifle::GetDamageType
Attr:Custom_Attributes	CTFSodaPopper::SecondaryAttack
Attr:Custom_Attributes	CTFStickBomb::Smack
Attr:Custom_Attributes	CTFWeaponBase::ApplyFireDelay
Attr:Custom_Attributes	CTFWeaponBase::AutoFiresFullClip
Attr:Custom_Attributes	CTFWeaponBase::CanHolster
Attr:Custom_Attributes	CTFWeaponBase::CheckReloadMisfire
Attr:Custom_Attributes	CTFWeaponBase::DeflectEntity
Attr:Custom_Attributes	CTFWeaponBase::Energy_Recharge
Attr:Custom_Attributes	CTFWeaponBase::GetAfterburnRateOnHit
Attr:Custom_Attributes	CTFWeaponBase::GetDamageType
Attr:Custom_Attributes	CTFWeaponBase::GetParticleColor
Attr:Custom_Attributes	CTFWeaponBase::GetPenetrateType
Attr:Custom_Attributes	CTFWeaponBase::GetSpreadAngles
Attr:Custom_Attributes	CTFWeaponBase::GetViewModelWeaponRole
Attr:Custom_Attributes	CTFWeaponBaseGun::FireEnergyBall
Attr:Custom_Attributes	CTFWeaponBaseGun::GetProjectileSpeed
Attr:Custom_Attributes	CTFWeaponBaseGun::RemoveProjectileAmmo
Attr:Custom_Attributes	CTFWeaponBaseGun::UpdatePunchAngles
Attr:Custom_Attributes	CTFWeaponBase::Holster
Attr:Custom_Attributes	CTFWeaponBase::ItemBusyFrame
Attr:Custom_Attributes	CTFWeaponBase::ItemHolsterFrame
Attr:Custom_Attributes	CTFWeaponBase::ItemPostFrame
Attr:Custom_Attributes	CTFWeaponBaseMelee::Swing
Attr:Custom_Attributes	CTFWeaponBase::Reload
Attr:Custom_Attributes	CTFWeaponBase::SendWeaponAnim
Attr:Custom_Attributes	CTFWeaponBase::UpdateHands
Attr:Custom_Attributes	CTFWeaponBuilder::StartPlacement
Attr:Custom_Attributes	CTFWeaponBuilder::StopPlacement
Attr:Custom_Attributes	CTFWeaponFlameBall::FireProjectile
Attr:Custom_Attributes	CTFWeaponInvis::ActivateInvisibilityWatch
Attr:Custom_Attributes	CTFWeaponInvis::CleanupInvisibilityWatch
Attr:Custom_Attributes	CTFWeaponInvis::GetViewModel
Attr:Custom_Attributes	CTFWearableDemoShield::DoCharge
Attr:Custom_Attributes	CUpgrades::ApplyUpgradeToItem [clone]
Attr:Custom_Attributes	CUpgrades::EndTouch
Attr:Custom_Attributes	CUpgrades::PlayerPurchasingUpgrade [clone]
Attr:Custom_Attributes	CUpgrades::UpgradeTouch
Attr:Custom_Attributes	CVEngineServer::PlaybackTempEntity
Attr:Custom_Attributes	CWeaponMedigun::AllowedToHealTarget
Attr:Custom_Attributes	CWeaponMedigun::CycleResistType [clone]
